identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
origin-o3ohwl2w2b-tools.electrification.us.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:58 UTC,2025-09-08 07:17:58 UTC
ascc-portal.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:12 UTC,2025-03-31 17:15:12 UTC
ie.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:12:04 UTC,2025-09-08 07:12:04 UTC
remotemonitoring.drives.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:31 UTC,2025-09-08 07:18:31 UTC
byp.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:02 UTC,2025-08-04 14:58:02 UTC
ocpp.evcharging.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:56:24 UTC,2025-08-04 14:56:24 UTC
insideplus.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:35 UTC,2025-09-08 07:17:35 UTC
emob03.us.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:07 UTC,2025-09-04 06:26:07 UTC
baltic.inside.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:01 UTC,2025-08-04 14:58:01 UTC
pges-168-62-184-185.e.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:29 UTC,2025-09-08 07:18:29 UTC
drgateway.baldor.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:41 UTC,2025-09-04 06:25:41 UTC
health-hub.genix.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:12:03 UTC,2025-09-08 07:12:03 UTC
na.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:56 UTC,2025-09-08 07:17:56 UTC
bus.baldor.com,URL,,false,true,,,,critical,,2025-09-18 07:05:20 UTC,2025-09-18 07:05:20 UTC
powersource-configurator.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:30 UTC,2025-09-08 07:18:30 UTC
be.easyproweb.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:02 UTC,2025-08-04 14:58:02 UTC
insp002.apps.in.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:35 UTC,2025-09-08 07:17:35 UTC
account.buildingplus.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:13 UTC,2025-03-31 17:15:13 UTC
ee.mv408.no.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:06 UTC,2025-09-04 06:26:06 UTC
ae.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-26 09:05:40 UTC,2025-03-26 09:05:40 UTC
channelportalrequest.drives.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:03 UTC,2025-08-04 14:58:03 UTC
hlk.antriebstechnik.de.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:12:03 UTC,2025-09-08 07:12:03 UTC
adns1.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-26 09:05:40 UTC,2025-03-26 09:05:40 UTC
kf.ingestion.newenergy.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:56:23 UTC,2025-08-04 14:56:23 UTC
nam.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:56 UTC,2025-09-08 07:17:56 UTC
motionupskill.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:55 UTC,2025-09-08 07:17:55 UTC
oauthproc-cr02.abilityplatform01.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:56:24 UTC,2025-08-04 14:56:24 UTC
ibm.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:12:04 UTC,2025-09-08 07:12:04 UTC
metadata.ch.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:39 UTC,2025-09-08 07:17:39 UTC
workpackage-collaboration.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:31 UTC,2025-09-08 07:18:31 UTC
bg.inside.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:02 UTC,2025-08-04 14:58:02 UTC
salestool.ch.abb.com,URL,,false,true,low,high,medium,critical,technologyl,2025-09-08 07:18:31 UTC,2025-09-08 07:18:31 UTC
industrialsolutions.dk.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:12:05 UTC,2025-09-08 07:12:05 UTC
projecttimeentry.industrial-automation-service.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:30 UTC,2025-09-08 07:18:30 UTC
analytics.internal-newsletter.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-26 09:05:40 UTC,2025-03-26 09:05:40 UTC
cnabbpeks0002.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:14 UTC,2025-03-31 17:15:14 UTC
online.cn.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:58 UTC,2025-09-08 07:17:58 UTC
oversea-qe.genix.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:28 UTC,2025-09-08 07:18:28 UTC
cust-rel.e.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:40 UTC,2025-09-04 06:25:40 UTC
ascc.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:14 UTC,2025-03-31 17:15:14 UTC
gb.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:11:57 UTC,2025-09-08 07:11:57 UTC
